run number,nominal diffusion coeff,nominal lifetime,nominal diffusion length,nominal CNR,estimated CNR,nominal sigma^2_0,estimated sigma^2_0,unweighted fit diffusion slope,unweighted fit diffusion slope stderr,unweighted fit intercept,unweighted fit intercept stderr,weighted fit diffusion slope,weighted fit diffusion slope stderr,weighted fit intercept,weighted fit intercept stderr,nominal diffusion coeff [cm^2/s],unweighted fit diffusion coeff [cm^2/s],unweighted fit diffusion stderr [cm^2/s],weighted fit diffusion coeff [cm^2/s],weighted fit diffusion stderr [cm^2/s]
0,0.010000000000000002,1,0.1,50.0,55.163765413690726,0.18033688011112042,0.18228644835273985,0.012922193837112074,0.004189449475015721,9.094706140022873e-05,0.0024850599932041296,0.014830538925315478,0.0040071895206857,-0.0007219207589993833,0.0016674387363716783,0.1,0.06461096918556038,0.020947247375078606,0.07415269462657738,0.020035947603428497
1,0.010000000000000002,1,0.1,50.0,48.88953788588307,0.18033688011112042,0.1808998392024132,0.0223374561432622,0.00619863157417949,-0.0009167526220837394,0.003676848576279246,0.0201024343733242,0.005194159200143584,-9.514282963193053e-05,0.0022156329633933464,0.1,0.11168728071631098,0.030993157870897448,0.100512171866621,0.02597079600071792
2,0.010000000000000002,1,0.1,50.0,49.04358564275466,0.18033688011112042,0.18167740873299199,0.031333357312245416,0.0053134654048518385,-0.003419526747190633,0.003151793662059128,0.030616257111420353,0.005131476031407895,-0.0029201167404992925,0.0022173889823417095,0.1,0.15666678656122707,0.026567327024259194,0.15308128555710176,0.025657380157039472
3,0.010000000000000002,1,0.1,50.0,52.027632471777366,0.18033688011112042,0.18055820124997846,0.027111825718441587,0.004275122604644169,-0.00272237195003392,0.0025358788103785387,0.026234781561292456,0.004090754799186459,-0.0022166450762387217,0.0017491184260646012,0.1,0.13555912859220795,0.021375613023220844,0.13117390780646226,0.020453773995932293
4,0.010000000000000002,1,0.1,50.0,49.77114647969142,0.18033688011112042,0.18364348398404562,0.014814888987723835,0.006618458941757666,-0.0023162810761622413,0.0039258780016112734,0.011280315447302161,0.005689631776994659,-0.0010212331083497307,0.0024813169007288395,0.1,0.07407444493861917,0.03309229470878833,0.056401577236510805,0.028448158884973297
5,0.010000000000000002,1,0.1,50.0,48.99775794284493,0.18033688011112042,0.17850074304543792,0.029375493141663322,0.004619111686123242,-0.0024128838750251853,0.0027399231626450077,0.02569005508953671,0.003610484374214432,-0.0009770984645158653,0.0015360806211462178,0.1,0.1468774657083166,0.023095558430616208,0.12845027544768356,0.018052421871072158
6,0.010000000000000002,1,0.1,50.0,55.30231681954498,0.18033688011112042,0.18309514223274298,0.026754262271194575,0.0037723306939417135,-0.003801607774134936,0.0022376372228752914,0.025838262326670546,0.004334675642781145,-0.003344641712910807,0.0017879049371121688,0.1,0.13377131135597287,0.018861653469708566,0.12919131163335273,0.021673378213905723
7,0.010000000000000002,1,0.1,50.0,47.98124562804938,0.18033688011112042,0.1805136529514029,0.028187164920427735,0.008109293174814307,-0.0005144989476264118,0.004810197655341987,0.025651850816852815,0.007020333836643237,0.00024336536775721417,0.0029771540196734426,0.1,0.14093582460213866,0.040546465874071534,0.12825925408426408,0.03510166918321618
8,0.010000000000000002,1,0.1,50.0,51.450973259276395,0.18033688011112042,0.17959570943883138,0.0223772529495338,0.003065890964205538,0.000899058897843621,0.0018185976520565693,0.02220945620765912,0.0035761827349142603,0.0008833695815106564,0.0014482987345916997,0.1,0.111886264747669,0.015329454821027688,0.1110472810382956,0.017880913674571303
9,0.010000000000000002,1,0.1,50.0,49.065349180505564,0.18033688011112042,0.17772619551926577,0.02120801330319557,0.004246217777281785,0.0012434174020762795,0.002518733304622448,0.022278039242126037,0.004011809445732728,0.0008593234126658147,0.0017341301823255667,0.1,0.10604006651597785,0.021231088886408924,0.11139019621063019,0.02005904722866364
10,0.010000000000000002,1,0.1,50.0,50.979510684964886,0.18033688011112042,0.18120199007719948,0.03209111014616825,0.008261808405559888,-0.005869889911137982,0.004900665269414053,0.022652311871994665,0.008423360550746207,-0.0019497760933717217,0.0036247194489531223,0.1,0.16045555073084125,0.04130904202779944,0.11326155935997333,0.04211680275373103
11,0.010000000000000002,1,0.1,50.0,48.9484464252882,0.18033688011112042,0.1794403051325898,0.02413454363679189,0.0051482835049934785,0.0001179334968526664,0.0030538125470254106,0.025381843558540406,0.00474278361754648,-0.00045840502287963726,0.002023579478700741,0.1,0.12067271818395944,0.02574141752496739,0.12690921779270203,0.023713918087732398
